Social Psychological Approaches to Health and Wellbeing ,HSL262,HU,4,3,1,0
APPLIED ERGONOMICS                                 ,DSP722,PC,2,1,0,2
MAJOR PROJECT PART II (CEU)                        ,CVD811,"",12,0,0,24
FIELD EXPLORATION AND GEOTECHNICAL PROCESSES       ,CVL714,"",3,3,0,0
MAJOR PROJECT III                                  ,CRD814,PC,6,0,0,12
RF AND MICROWAVE ACTIVE CIRCUITS                   ,CRL712,PE,3,3,0,0
ORGANIZATION THEORY                                ,MSL733C,SE,1.5,1.5,0,0
SUSTAINABLE CHEMICAL PROCESSING OF TEXTILES        ,TXL754,PC,2,2,0,0
MINOR PROJECT IN INFORMATION TECHNOLOGY            ,SID880,"",3,0,0,6
BIOLOGY OF PROTEINS                                ,SBL705,"",3,3,0,0
ALGEBRAIC GEOMETRY                                 ,MTL755,"",3,3,0,0
ENVIRONMENTAL BIOTECHNOLOGY                        ,BBL341,DE,3,3,0,0
CURRENT TRENDS IN PSYCHOLINGUISTICS                ,HUV751,"",1,1,0,0
OPERATIONS PLANNING AND CONTRO                     ,MCL754,PC,3,3,0,0
VIBRATIONS AND NOISE ENGINEERING                   ,MCL733,"DE,PE",4,3,0,2
GEOGRAPHIC INFORMATION SYSTEMS                     ,CVL838,"",3,2,0,2
MEMBRANE SCIENCE & ENGINEERING                     ,CLL793,"",3,3,0,0
DIRECT ENERGY CONVERSION                           ,ESL360,"",4,3,1,0
SONARS                                             ,CRL706,PE,3,3,0,0
MINOR PROJECT                                      ,VED750,"",3,0,0,6
THERMAL SC. FOR ELE. ENGINEERS                     ,MCL142,"",3,3,0,0
COMPUTER AIDED MANUFACTURING                       ,MCL784,"",4,3,0,2
MAJOR PROJECT                                      ,BED800,"",40,0,0,80
SELECTED TOPICS IN FINANCE                         ,MSV802,"",1,1,0,0
MAJOR PROJECT PART 2 (ME)                          ,MED412,"",7,0,0,14
GRAPH THEORY                                       ,MTL768,"",3,3,0,0
SELECTED TOPICS IN APPLIED OPT                     ,PYL879,"",3,3,0,0
SEMINAR COURSE   I                                 ,ESQ301,"",1,0,0,2
DATA MINING                                        ,MTL782,"",4,3,0,2
MAJOR PROJECT PART 2 (BB5)                         ,BBD852,"",14,0,0,28
Fibre Production and Post Spinning Operation Laboratory ,TXP716,PE,2,0,0,4
ORGANIC SYNTHESIS                                  ,CML523,"",3,3,0,0
MAJOR PROJECT PART I                               ,TXD401,DC,4,0,0,8
SELECTED TOPICS IN PSYCHOLOGY                      ,HUL370,HU,3,3,0,0
SC. & TECHNOLOGY OF THIN FILMS                     ,PYL704,"",3,3,0,0
COMPUTATIONAL PHYSICS                              ,PYL204,"",4,3,1,0
MINOR PROJECT                                      ,CLD880,PC,4,0,0,8
SEMICONDUCTOR OPTOELECTRONICS                      ,PYL312,"",3,3,0,0
SEMINAR COURSE   IV                                ,COQ304,"",1,0,0,2
VISCOELASTIC BEHAVIOR OF BITUM                     ,CVL845,"",3,3,0,0
GROUNDWATER                                        ,CVL382,"",2,2,0,0
MAJOR PROJECT PART II (TCP) ,TXD806,PC,12,0,0,24
MAJOR PROJECT PART II (THERMALENGINEERING)         ,MCD812,"",12,0,0,24
ADVANCED MACHINE LEARNING                          ,ELL888,"",3,3,0,0
BTP PART II                                        ,ELD459,"",8,0,0,16
Independent Study ,DSS720,"",3,0,3,0
M.TECH PROJECT PARTII                              ,COD893,"",14,0,0,28
Micromechanics of Fracture ,APV707,"",1,1,0,0
B.TECH.PROJECT                                     ,MCD411,"",4,0,0,8
MODEL REDUCTION IN CONTROL                         ,ELL803,"",3,3,0,0
INTRODUCTION TO PRACTICAL MODERN BIOLOGY           ,SBP200,"",2,0,0,4
Psychology of Decision Making ,HUL861,"",3,3,0,0
ADVANCED CELL BIOLOGY                              ,SBL703,"",3,3,0,0
NUCLEAR ENERGY                                     ,ESL734,"",3,3,0,0
CHEMISTRY LABORATORY                               ,CMP100,"",2,0,0,4
ADVANCED ECONOMETRICS                              ,HSL719,"",3,3,0,0
MARKETING MANAGEMENT                               ,MSL303,"",3,3,0,0
REAL AND COMPLEX ANALYSIS                          ,MTL122,"",4,3,1,0
MAJOR PROJECT (UNIQUE CORE)                        ,MSD890,"",6,0,0,12
MAJOR PROJECT PART I                               ,ELD851,"",6,0,0,12
SEMINAR COURSE   II                                ,CLQ302,"",1,0,0,2
ECONOMICS & PLANNING OF ENERGY SYSTEMS             ,ESL750,"",3,3,0,0
MINI PROJECT                                       ,PYD658,"",3,0,0,6
SIMULATION LABORATORY II                           ,CVP731,"",1.5,0,0,3
SPL. TOPICS IN MECHANICAL ENGG                     ,MCL380,"",3,3,0,0
OPTIMIZATION METHODS & APPL.                       ,MTL103,"",3,3,0,0
FINE CHEMICALS TECHNOLOGY                          ,CLL786,"",3,3,0,0
FINITE ELEMENT METHODS & ITS APPL.TO MARINE STRU.  ,AML706,"",3,3,0,0
NUM. & COMP. METH. IN RESEARCH                     ,PYL800,"",3,3,0,0
CORPORATE GOVERNANCE                               ,MSL870,PE,1.5,1.5,0,0
M.TECH PROJECT PARTI                               ,COD892,"",7,0,0,14
INDIAN ECONOMIC PROBLEMS AND POLICIES              ,HUL316,HU,3,3,0,0
SYSTEM LEVEL DESIGN& MODELLING                     ,COL812,"",3,3,0,0
STRUCTURAL ANALYSIS LABORATORY                     ,CVP242,"",1,0,0,2
SEMINAR COURSE   III                               ,MCQ303,"",1,0,0,2
MAJOR PROJECT                                      ,BBD895,"",36,0,0,72
