C$Tue$08:00:00$09:00:00
A$Mon$08:00:00$09:30:00
A$Thu$08:00:00$09:30:00
B$Mon$09:30:00$11:00:00
B$Thu$09:30:00$11:00:00
H$Mon$11:00:00$12:00:00
J$Mon$12:00:00$13:00:00
J$Tue$12:00:00$13:00:00
J$Fri$12:00:00$13:00:00
C$Wed$08:00:00$09:00:00
C$Fri$08:00:00$09:00:00
D$Tue$09:00:00$10:00:00
D$Wed$09:00:00$10:00:00
D$Fri$09:00:00$10:00:00
E$Tue$10:00:00$11:00:00
E$Wed$10:00:00$11:00:00
E$Fri$10:00:00$11:00:00
F$Tue$11:00:00$12:00:00
F$Thu$11:00:00$12:00:00
F$Fri$11:00:00$12:00:00
H$Wed$11:00:00$12:00:00
H$Thu$12:00:00$13:00:00
M$Mon$17:00:00$18:30:00
M$Thu$17:00:00$18:30:00
K$Tue$17:00:00$18:00:00
K$Wed$12:00:00$13:00:00
K$Fri$17:00:00$18:00:00
AA$Mon$14:00:00$15:30:00
AA$Thu$14:00:00$15:30:00
AB$Mon$15:30:00$17:00:00
AB$Thu$15:30:00$17:00:00
AC$Tue$14:00:00$15:30:00
AC$Fri$14:00:00$15:30:00
AD$Tue$15:30:00$17:00:00
AD$Fri$15:30:00$17:00:00
L$Tue$18:00:00$19:00:00
L$Fri$18:00:00$19:00:00
TE1$Mon$13:00:00$14:00:00
TE2$Tue$13:00:00$14:00:00
TE3$Thu$13:00:00$14:00:00
TE4$Fri$13:00:00$14:00:00
TF1$Fri$13:00:00$14:00:00
TF2$Mon$13:00:00$14:00:00
TF3$Tue$13:00:00$14:00:00
TF4$Thu$13:00:00$14:00:00
TA1$Tue$13:00:00$14:00:00
TA2$Thu$13:00:00$14:00:00
TA3$Fri$13:00:00$14:00:00
TA4$Mon$13:00:00$14:00:00
TD1$Tue$14:00:00$15:00:00
TD2$Thu$14:00:00$15:00:00
TD3$Fri$14:00:00$15:00:00
TD4$Mon$14:00:00$15:00:00
PB1$Thu$13:00:00$15:00:00
PB2$Fri$13:00:00$15:00:00
PB3$Mon$13:00:00$15:00:00
PB4$Tue$13:00:00$15:00:00
PC1$Thu$15:00:00$17:00:00
PC2$Fri$15:00:00$17:00:00
PC3$Mon$15:00:00$17:00:00
PC4$Tue$15:00:00$17:00:00
PD1$Tue$15:00:00$17:00:00
PD2$Thu$15:00:00$17:00:00
PD3$Fri$15:00:00$17:00:00
PD4$Mon$15:00:00$17:00:00
PE1$Mon$14:00:00$17:00:00
PE2$Tue$14:00:00$17:00:00
PE3$Thu$14:00:00$17:00:00
PE4$Fri$14:00:00$17:00:00
PF1$Fri$14:00:00$17:00:00
PF2$Mon$14:00:00$17:00:00
PF3$Tue$14:00:00$17:00:00
PF4$Thu$14:00:00$17:00:00
